Setup done!
t522627, T47.5000000000, u2.0000000000
t523627, T47.5000000000, u2.0000000000
t524627, T47.5000000000, u2.0000000000
t525627, T47.5000000000, u2.0000000000
t526627, T47.5000000000, u2.0000000000
t527627, T47.5000000000, u2.0000000000
t528627, T47.5000000000, u2.0000000000
t529627, T47.5000000000, u2.0000000000
t530627, T47.5000000000, u2.0000000000
t531627, T47.5000000000, u2.0000000000
t532627, T47.5000000000, u2.0000000000
t533627, T47.5000000000, u2.0000000000
t534627, T47.7500000000, u2.0000000000
t535627, T47.7500000000, u2.0000000000
t536627, T47.7500000000, u2.0000000000
t537627, T47.7500000000, u2.0000000000
t538627, T47.7500000000, u2.0000000000
t539627, T47.7500000000, u2.0000000000
t540627, T47.7500000000, u2.0000000000
t541627, T47.7500000000, u2.0000000000
t542627, T47.7500000000, u2.0000000000
t543627, T47.7500000000, u2.0000000000
t544627, T47.7500000000, u2.0000000000
t545627, T47.7500000000, u2.0000000000
t546627, T47.7500000000, u2.0000000000
t547627, T47.7500000000, u2.0000000000
t548627, T47.7500000000, u2.0000000000
t549627, T47.7500000000, u2.0000000000
t550627, T47.7500000000, u2.0000000000
t551627, T47.7500000000, u2.0000000000
t552627, T47.7500000000, u2.0000000000
t553627, T47.7500000000, u2.0000000000
t554627, T47.7500000000, u2.0000000000
t555627, T47.7500000000, u2.0000000000
t556627, T48.0000000000, u2.0000000000
t557627, T48.0000000000, u2.0000000000
t558627, T48.0000000000, u2.0000000000
t559627, T48.0000000000, u2.0000000000
t560627, T48.0000000000, u2.0000000000
t561627, T48.0000000000, u2.0000000000
t562627, T48.0000000000, u2.0000000000
t563627, T48.0000000000, u2.0000000000
t564627, T48.0000000000, u2.0000000000
t565627, T48.0000000000, u2.0000000000
t566627, T48.0000000000, u2.0000000000
t567627, T48.0000000000, u2.0000000000
t568627, T48.0000000000, u2.0000000000
t569627, T48.0000000000, u2.0000000000
t570627, T48.0000000000, u2.0000000000
t571627, T48.0000000000, u2.0000000000
t572627, T48.0000000000, u2.0000000000
t573627, T48.0000000000, u2.0000000000
t574627, T48.0000000000, u2.0000000000
t575627, T48.0000000000, u2.0000000000
t576627, T48.0000000000, u2.0000000000
